CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1697814,UG,Aaron Huang,UG Investment Advisers Ltd.,,https://www.ugfunds.com/,,,,,0
1963565,Value Aligned,Ben Hoskin,"Value Aligned Managers, LP",,,,,,,0
869178,VanEck,Jan Van Eck,Van Eck Associates Corp,,https://www.vaneck.com/,,,,,0
2013462,Vennlight,Igor Gitelman,"Vennlight Capital, LP",,,,,,,0
1849753,Voyager,Grant Wonders,Voyager Global Management LP,,,,,,,0
1388391,Walleye,Will England,Walleye Trading LLC,,https://www.walleyecapital.com/,,,,,0
1968434,Wealth Preservation,Gene Rice,"Wealth Preservation Advisors, LLC",,https://www.wpafinancial.com/,,,,,0
1861125,Westwood,Bryan Casey,Westwood Wealth Management,,https://www.wwmgmt.co/,,,,,0
1387322,Whale Rock,Alex Sacerdote,Whale Rock Capital Management LLC,,https://www.whalerock.com/,,,,,0
1607278,Whetstone,David Atterbury,"Whetstone Capital Advisors, LLC",,https://whetstone-capital.com/,,,,,0
1780365,WT,Tongshu Wang,WT Asset Management Ltd,,https://www.wt-cap.com/,,,,,0
1067983,Berkshire Hathaway,Warren Buffett,Berkshire Hathaway Inc,,https://www.berkshirehathaway.com/,巴菲特,沃伦·巴菲特,Berkshire Hathaway Inc. Chairman. Focuses on value investing and long-term moats.,伯克希尔·哈撒韦 (Berkshire Hathaway) 董事长。坚持价值投资、长期持有竞争优势（护城河）强且管理优秀的优质公司。,100
1423053,Citadel Advisors,Ken Griffin,Citadel Advisors LLC,,https://www.citadel.com/,肯·格里芬,肯·格里芬,Citadel Advisors LLC founder. Global multi-strategy hedge fund giant.,Citadel 创始人。全球顶尖的多策略对冲基金巨头，以高杠杆、多空对冲及卓越的风险管控体系著称。,95
